long;lat;year;c4_biomass;c3_biomass;dead_grass_biomass;savanna_tree_cover;forest_tree_cover;tree_leaf_biomass;tree_stem_biomass;trees_per_ha
31.25;-22.25;1983;3.98842;1.9151;0.86303;0.197233;0.00812639;1.47812;5.22946;5916
32.25;-21.75;1983;1.51109;1.09331;0.494656;0.0371209;0.442657;2.55636;20.2182;2525
30.75;-22.75;1983;3.67546;2.03603;1.16235;0.0477179;0.455214;2.14005;25.367;1939
31.75;-24.75;1983;3.1638;1.77027;0.728459;0.0407929;0.335306;1.77936;18.2467;1851
31.25;-21.75;1983;2.90581;1.62346;0.763293;0.0277828;0.259387;1.27331;10.9567;1965
31.75;-23.25;1983;2.82864;1.61835;0.745735;0.218402;0.0889777;2.05626;6.76093;4304
31.75;-24.25;1983;1.57073;0.981335;0.480713;0.341858;0.00118763;1.51024;7.84809;4940
30.75;-24.25;1983;2.29972;1.64793;0.697123;0.178178;0.0589332;1.85022;8.26945;3397
32.25;-23.75;1983;2.58671;1.39525;0.714786;0.222786;0.092863;1.91722;6.69256;4396
30.75;-21.75;1983;2.90856;1.27626;0.771969;0.199672;0.00217843;1.18515;3.77716;6877
30.75;-23.25;1983;3.51692;1.85489;0.870911;0.129318;0.423435;2.01334;17.6729;4448
32.25;-24.75;1983;1.34977;0.944699;0.241148;0.0114757;0.982846;2.83554;47.695;2293
30.75;-22.25;1983;3.62795;1.69698;0.906446;0.275207;0.0501714;1.40703;6.80791;5444
31.75;-22.25;1983;3.04036;1.60462;0.795701;0.290153;0.0614525;1.50868;8.12779;4471
31.25;-23.25;1983;3.72926;1.90193;0.835076;0.222748;0.170672;1.47479;11.799;4168
31.75;-23.75;1983;3.48196;1.94887;0.338069;0.109745;0.109159;1.14285;7.07051;2619
32.25;-25.25;1983;1.5681;1.29376;0.457046;0.0387031;0.42543;2.96755;24.762;1980
31.75;-21.75;1983;3.80421;2.54082;0.825463;0.0396311;0.960369;3.33755;42.2114;3442
32.25;-22.25;1983;3.81516;2.49421;0.961115;0.123009;0.444302;2.42585;18.2893;3180
31.75;-22.75;1983;3.33054;1.71111;0.739902;0.205006;0.0470681;1.39016;5.82193;4865
31.25;-25.25;1984;1.90612;1.4247;0.489269;0.339428;0.416912;2.24222;20.6978;4090
32.25;-24.25;1984;1.25904;1.00356;0.368488;0.0533475;0.598115;1.73889;19.1829;3419
31.25;-24.25;1984;2.08653;1.38432;0.281758;0.0311392;0.840953;2.2799;40.2298;1417
31.25;-22.75;1984;3.03662;1.61289;0.693973;0.203191;0.0357618;1.63741;5.03178;4800
31.75;-25.25;1984;1.79453;1.32268;0.509027;0.0286685;0.625876;2.66208;33.4572;2069
31.25;-23.75;1984;2.78561;1.12509;0.81592;0.0945067;0.205169;1.28791;7.96889;3439
30.75;-25.25;1984;3.87293;2.49696;1.21434;0.199014;0.0043803;0.914002;4.79323;4003
30.75;-23.75;1984;2.79467;1.74022;0.266411;0.104131;0.26191;1.58732;13.8028;3266
30.75;-24.75;1984;2.83165;2.67406;0.932693;0.154444;0.00278661;0.70526;3.03539;2953
31.25;-24.75;1984;2.04458;1.64687;0.552464;0.30767;0.282807;1.57566;14.3375;3433
32.25;-23.25;1984;3.1836;1.83739;0.942561;0.298;0.343418;1.51211;13.3653;4696
32.25;-22.75;1984;3.52186;1.98794;0.265441;0.389402;0.0151756;1.7511;8.91481;5474
31.25;-22.25;1984;3.39974;1.75124;0.884989;0.207759;0.00801462;1.47812;5.22946;5892
32.25;-21.75;1984;2.67076;1.66106;0.792722;0.0365163;0.42498;2.55636;20.2182;2477
30.75;-22.75;1984;2.3471;1.8517;0.896473;0.0483665;0.440878;2.14005;25.367;2181
31.75;-24.75;1984;3.58599;2.03856;1.09977;0.0413236;0.309823;1.77936;18.2467;1843
31.25;-21.75;1984;3.19675;1.893;0.308869;0.0279133;0.24709;1.27331;10.9567;1846
31.75;-23.25;1984;3.73651;2.05256;1.11626;0.222644;0.0880162;2.05626;6.76093;4223
31.75;-24.25;1984;1.57344;1.13652;0.515142;0.343122;0.00111732;1.51024;7.84809;4905
30.75;-24.25;1984;2.63294;1.64202;0.166638;0.177904;0.0529638;1.85022;8.26945;3276
32.25;-23.75;1984;2.93404;1.4487;0.942677;0.231062;0.0949466;1.91722;7.14103;4307
30.75;-21.75;1984;2.62924;1.42056;0.743341;0.208831;0.00220441;1.18515;3.81175;6743
30.75;-23.25;1984;2.73507;1.59467;0.852632;0.125759;0.402425;2.01334;17.6729;4639
32.25;-24.75;1984;2.12793;1.5746;0.541077;0.0114015;0.982367;2.83554;47.695;2315
30.75;-22.25;1984;2.99405;1.56192;0.914381;0.286509;0.0521268;1.40703;6.80791;5510
31.75;-22.25;1984;3.61616;1.98539;0.928486;0.30618;0.0643537;1.50868;8.12779;4586
31.25;-23.25;1984;3.06464;1.69759;0.856764;0.228072;0.172607;1.47479;11.799;4210
31.75;-23.75;1984;3.49799;1.87784;1.0326;0.108045;0.0986052;1.14285;5.73344;2683
32.25;-25.25;1984;2.32454;1.79675;0.907367;0.0395874;0.422817;2.96755;24.762;2151
31.75;-21.75;1984;2.85534;2.34783;0.603392;0.0394085;0.960591;3.33755;42.2114;3412
32.25;-22.25;1984;3.90337;2.32569;0.289161;0.119097;0.423208;2.42585;18.2893;2719
31.75;-22.75;1984;2.86102;1.21894;0.760624;0.207531;0.0447051;1.39016;5.82193;5055
31.25;-25.25;1985;1.0857;0.875982;0.342327;0.343692;0.432638;2.24222;21.2415;4014
32.25;-24.25;1985;0.753055;0.585699;0.198938;0.0541289;0.624335;1.74075;19.9988;3638
31.25;-24.25;1985;1.74037;1.08928;0.451299;0.0309294;0.81637;2.2799;38.6464;1527
31.25;-22.75;1985;2.16001;1.12016;0.586734;0.214037;0.0356962;1.63741;5.03178;5068
31.75;-25.25;1985;0.944537;0.863256;0.57293;0.0287535;0.619119;2.66208;33.4572;2192
31.25;-23.75;1985;1.79112;0.946772;0.227672;0.0933447;0.191196;1.28791;7.96889;3024
30.75;-25.25;1985;3.65554;2.6052;1.14148;0.189438;0.00445416;1.00235;4.79323;4119
30.75;-23.75;1985;3.01444;1.53811;0.330311;0.103936;0.246526;1.58732;12.7718;2859
30.75;-24.75;1985;3.41496;2.65167;1.03994;0.164926;0.00305958;0.70526;3.09761;2888
31.25;-24.75;1985;1.57467;1.10442;0.490582;0.313141;0.29564;1.74824;14.831;3474
32.25;-23.25;1985;1.41567;1.0083;0.30336;0.291301;0.339651;1.51211;13.4507;4249
32.25;-22.75;1985;2.67887;1.4288;0.558877;0.376034;0.0136287;1.7511;8.91481;5652
31.25;-22.25;1985;2.1025;0.94169;0.674619;0.217231;0.00775581;1.47812;5.22946;5771
32.25;-21.75;1985;1.39903;1.07463;0.509317;0.0362624;0.40802;2.55636;20.2182;2458
30.75;-22.75;1985;1.82838;1.33621;0.575385;0.0491921;0.427457;2.14005;25.367;2315
31.75;-24.75;1985;1.90529;1.28941;0.932927;0.0421409;0.285024;1.77936;18.1303;2018
31.25;-21.75;1985;2.07777;1.14353;0.368054;0.0275536;0.229515;1.27331;10.9567;1861
31.75;-23.25;1985;1.92309;1.05717;0.255699;0.217415;0.0830401;2.05626;6.76093;4163
31.75;-24.25;1985;1.75226;1.03065;0.455944;0.345541;0.00105021;1.51024;7.84809;5089
30.75;-24.25;1985;3.19965;1.65022;0.818643;0.17938;0.0469497;1.85022;8.26945;3425
32.25;-23.75;1985;1.02504;0.746866;0.411602;0.242918;0.0990452;1.91722;7.78643;4408
30.75;-21.75;1985;1.47769;0.847658;0.496272;0.215455;0.00217944;1.18515;4.28893;6789
30.75;-23.25;1985;1.79851;1.1387;0.585422;0.122621;0.380073;2.01334;17.6729;4570
32.25;-24.75;1985;0.576488;0.549749;0.204739;0.0113241;0.979138;2.83554;47.695;2776
30.75;-22.25;1985;1.73111;1.00561;0.615623;0.298883;0.0548048;1.40703;6.80791;5399
31.75;-22.25;1985;1.29494;1.09884;0.305544;0.301445;0.0627553;1.48209;8.12779;4479
31.25;-23.25;1985;1.93925;0.783016;0.623255;0.232815;0.172867;1.47479;11.799;4487
31.75;-23.75;1985;1.7619;1.13463;0.603305;0.112674;0.0945075;1.14285;5.73344;2966
