year,type,count,calfCount,utmX,utmY
1989,OB,5.00,0.00,341399.97,7391278.51
1989,OB,7.00,0.00,341193.22,7390578.54
1989,OB,5.00,0.00,344372.48,7391077.90
1989,OB,1.00,0.00,345862.56,7391093.69
1989,OB,2.00,0.00,346894.99,7393873.20
1989,OB,3.00,0.00,347123.83,7392491.27
1989,OB,4.00,0.00,347559.68,7391809.20
1989,OB,3.00,0.00,349663.72,7393669.35
1989,OB,1.00,0.00,350720.57,7394145.30
1989,OB,4.00,0.00,350937.30,7393914.95
1989,OB,2.00,0.00,350741.82,7392063.53
1989,OB,2.00,0.00,357362.19,7389361.11
1989,BB,5.00,0.00,313805.71,7386566.64
1989,OB,1.00,0.00,317889.74,7383162.42
1989,OB,1.00,0.00,312451.02,7376857.22
1989,OB,1.00,0.00,312477.78,7374786.22
1989,OB,1.00,0.00,311338.31,7380077.22
1989,BB,10.00,0.00,313790.82,7371801.35
1989,BB,3.00,0.00,317604.85,7372536.60
1989,BB,5.00,0.00,319511.16,7372560.46
1989,OB,2.00,0.00,312552.42,7369016.19
1989,OB,1.00,0.00,315348.50,7365585.13
1989,BB,6.00,0.00,315357.27,7364898.49
1989,OB,1.00,0.00,325846.40,7375639.54
1989,OB,6.00,0.00,323525.51,7374459.59
1989,OB,3.00,0.00,324608.18,7372623.03
1989,BB,4.00,0.00,328774.68,7379827.78
1989,BB,3.00,0.00,329238.91,7375912.44
1989,OB,1.00,0.00,327348.71,7374505.60
1989,E,1.00,0.00,327145.57,7373583.88
1989,E,1.00,0.00,327145.57,7373583.88
1989,OB,3.00,0.00,326942.59,7372651.08
1989,OB,1.00,0.00,332692.29,7371799.31
1989,OB,1.00,0.00,328924.47,7367136.69
1989,OB,1.00,0.00,328735.01,7365063.25
1989,BB,1.00,0.00,328735.01,7365063.25
1989,OB,4.00,0.00,327261.27,7363893.80
1989,OB,1.00,0.00,327933.46,7361354.35
1989,OB,1.00,0.00,327730.54,7360432.61
1989,OB,1.00,0.00,327524.86,7359743.44
1989,BB,3.00,0.00,331911.09,7365333.14
1989,OB,1.00,0.00,332563.74,7364410.35
1989,BB,2.00,0.00,332782.94,7363958.79
1989,BB,4.00,0.00,331932.61,7363483.74
1989,OB,1.00,0.00,332577.10,7363258.63
1989,OB,1.00,0.00,331739.58,7362562.20
1989,OB,2.00,0.00,333012.89,7362576.99
1989,BB,2.00,0.00,332807.06,7361876.83
1989,OB,15.00,0.00,332173.33,7361182.78
1989,BB,6.00,0.00,330699.88,7360002.59
1989,OB,1.00,0.00,330699.88,7360002.59
1989,BB,2.00,0.00,329160.32,7382601.24
1989,BB,20.00,0.00,329816.44,7381457.06
1989,BB,1.00,0.00,333385.00,7385186.47
1989,BB,5.00,0.00,335682.30,7388679.10
1989,BB,10.00,0.00,336746.19,7388458.46
1989,BB,1.00,0.00,337407.09,7386848.87
1989,BB,4.00,0.00,338271.91,7385241.52
1989,BB,5.00,0.00,339952.83,7387342.18
1989,OB,5.00,0.00,344404.46,7388076.98
1989,OB,6.00,0.00,345677.49,7388323.07
1989,OB,2.00,0.00,345266.41,7387632.08
1989,OB,6.00,0.00,346354.42,7385096.40
1989,BB,12.00,0.00,344658.03,7384391.78
1989,OB,3.00,0.00,345303.19,7384166.07
1989,BB,3.00,0.00,344909.19,7380928.04
1989,BB,4.00,0.00,341946.13,7379511.77
1989,BB,1.00,0.00,339829.93,7379034.53
1989,BB,4.00,0.00,338129.48,7378783.11
1989,BB,4.00,0.00,335794.20,7378756.91
1989,BB,6.00,0.00,332181.48,7378948.23
1989,BB,4.00,0.00,333897.72,7377816.10
1989,BB,9.00,0.00,338152.68,7376701.22
1989,BB,5.00,0.00,337564.41,7372774.00
1989,BB,1.00,0.00,340084.82,7375338.23
1989,OB,1.00,0.00,339883.43,7374184.20
1989,OB,1.00,0.00,341177.86,7372359.95
1989,OB,1.00,0.00,344363.40,7372848.58
1989,BB,3.00,0.00,346700.12,7372640.91
1989,OB,7.00,0.00,346016.23,7376565.24
1989,OB,6.00,0.00,338219.53,7370710.24
1989,OB,2.00,0.00,340357.34,7370036.22
1989,OB,1.00,0.00,336752.17,7369763.44
1989,OB,2.00,0.00,336770.28,7368157.71
1989,OB,1.00,0.00,336778.15,7367460.04
1989,OB,2.00,0.00,340163.63,7368195.59
1989,BB,10.00,0.00,336410.25,7362150.72
1989,BB,8.00,0.00,337699.08,7360780.84
1989,BB,6.00,0.00,337696.47,7361013.39
1989,OB,4.00,0.00,335165.98,7359600.24
1989,BB,3.00,0.00,341946.22,7360828.01
1989,BB,2.00,0.00,343417.98,7361309.22
1989,BB,15.00,0.00,345554.15,7360634.52
1989,OB,1.00,0.00,346829.69,7360415.54
1989,OB,3.00,0.00,342560.04,7362451.70
1989,OB,4.00,0.00,343402.96,7362693.45
1989,BB,2.00,0.00,341689.35,7364745.83
1989,OB,2.00,0.00,343795.93,7365920.57
1989,OB,1.00,0.00,345664.58,7370326.34
1989,OB,1.00,0.00,346989.26,7384881.59
1989,BB,5.00,0.00,346845.95,7379110.14
1989,OB,1.00,0.00,346894.65,7374492.47
1989,OB,4.00,0.00,350705.65,7375683.95
1989,OB,2.00,0.00,351142.51,7373850.05
1989,OB,3.00,0.00,350310.72,7372457.15
