FID;SP;NO;LAT;LONG;NAME
14,330;ko;4;-24.583300000000001;31.579200000000000;Ripape
14,331;bh;1;-24.577100000000002;31.579200000000000;Ripape
14,332;r;1;-24.583300000000001;31.579200000000000;Ripape
14,333;w;1;-24.587499999999999;31.579200000000000;Ripape
14,334;r;2;-24.587499999999999;31.579200000000000;Ripape
14,335;bh;1;-24.600000000000001;31.579200000000000;Ripape
14,336;w;15;-24.587499999999999;31.585400000000000;Ripape
14,337;wr;7;-24.587499999999999;31.585400000000000;Ripape
14,338;bb;1;-24.583300000000001;31.579200000000000;Ripape
14,339;kp;1;-24.570799999999998;31.585400000000000;Ripape
14,340;r;20;-24.554200000000002;31.591699999999999;Kolwana
14,341;ko;3;-24.558299999999999;31.585400000000000;Kolwana
14,342;w;5;-24.564599999999999;31.585400000000000;Ripape
14,343;k;3;-24.570799999999998;31.585400000000000;Ripape
14,344;w;7;-24.570799999999998;31.585400000000000;Ripape
14,345;w;1;-24.587499999999999;31.591699999999999;Ripape
14,346;k;8;-24.593800000000002;31.591699999999999;Ripape
14,347;k;2;-24.600000000000001;31.597899999999999;Ripape
14,348;vl;1;-24.622900000000001;31.604199999999999;Ripape
14,349;bh;1;-24.652100000000001;31.604199999999999;Ripape
14,350;sv;1;-24.652100000000001;31.604199999999999;Ripape
14,351;bh;1;-24.656300000000002;31.604199999999999;Ripape
14,352;k;1;-24.656300000000002;31.614599999999999;Ripape
14,353;kp;3;-24.656300000000002;31.614599999999999;Ripape
14,354;kp;2;-24.652100000000001;31.608300000000000;Ripape
14,355;w;5;-24.639600000000002;31.608300000000000;Ripape
14,356;k;4;-24.616700000000002;31.608300000000000;Ripape
14,357;kp;1;-24.610399999999998;31.608300000000000;Ripape
14,358;w;16;-24.606300000000001;31.608300000000000;Ripape
14,359;w;4;-24.583300000000001;31.597899999999999;Ripape
14,360;w;3;-24.577100000000002;31.597899999999999;Ripape
14,361;k;4;-24.577100000000002;31.597899999999999;Ripape
14,362;w;39;-24.570799999999998;31.597899999999999;Ripape
14,363;k;43;-24.570799999999998;31.591699999999999;Ripape
14,364;r;3;-24.564599999999999;31.597899999999999;Kolwana
14,365;k;73;-24.564599999999999;31.591699999999999;Ripape
14,366;k;6;-24.558299999999999;31.597899999999999;Kolwana
14,367;k;6;-24.558299999999999;31.591699999999999;Kolwana
14,368;ba;1;-24.558299999999999;31.597899999999999;Kolwana
14,369;r;11;-24.564599999999999;31.604199999999999;Kolwana
14,370;k;4;-24.564599999999999;31.608300000000000;Ripape
14,371;w;6;-24.564599999999999;31.604199999999999;Kolwana
14,372;k;8;-24.570799999999998;31.604199999999999;Ripape
14,373;w;1;-24.570799999999998;31.608300000000000;Ripape
14,374;w;1;-24.564599999999999;31.608300000000000;Ripape
14,375;k;12;-24.570799999999998;31.608300000000000;Ripape
14,376;r;7;-24.577100000000002;31.604199999999999;Ripape
14,377;w;20;-24.577100000000002;31.608300000000000;Ripape
14,378;w;12;-24.583300000000001;31.608300000000000;Ripape
14,379;st;1;-24.583300000000001;31.614599999999999;Ripape
14,380;k;6;-24.593800000000002;31.614599999999999;Ripape
14,381;r;10;-24.600000000000001;31.614599999999999;Ripape
