ID;Date;Time;Latitude;Longitude;HasLeaves;DeadwoodMass;LivingWoodMass;WoodMass
a728dfbb-ca4b-423b-9993-b31f6b5a17bd;2018:01:01;02:00:00;31,70108;-24,15335;FALSE; 0,00000000;0,000000; 0,000000
c3a3eade-1357-4b09-8b3f-fc2201feb2e1;2018:01:01;02:00:00;31,76940;-23,99414;FALSE; 0,03357112;1,678556; 1,712127
b7c75fd7-faf7-472b-8a38-cb2b3293ccb9;2018:01:01;02:00:00;31,67569;-24,27732;FALSE; 0,03617663;1,808832; 1,845008
b0a3363e-7b83-48a5-b47e-1e09834c1f8e;2018:01:01;02:00:00;31,77367;-24,03473;FALSE; 0,03172341;1,586170; 1,617894
37f59917-02bc-40b0-9300-b49ac0b4e0b9;2018:01:01;02:00:00;31,73973;-24,08090;FALSE; 0,03384021;1,692011; 1,725851
3b4658c9-683d-43f1-8625-89c774d65105;2018:01:01;02:00:00;31,76481;-24,04613;FALSE; 0,03604578;1,802289; 1,838335
47619dae-af2a-4b33-b4d1-213f88aa5fb0;2018:01:01;02:00:00;31,66298;-24,28965;FALSE; 0,03189147;1,594573; 1,626465
b94856c4-fb1e-4c17-a1b6-54075140291f;2018:01:01;02:00:00;31,67816;-24,17758;FALSE; 0,03257291;1,628646; 1,661218
bfcac5a7-d3c3-476b-95a1-a9280e3d3c7f;2018:01:01;02:00:00;31,81039;-24,02376;FALSE; 0,00000000;0,000000; 0,000000
b521c479-bead-4b3e-93d5-b8e98591ab9e;2018:01:01;02:00:00;31,70675;-24,04785;FALSE; 0,00000000;0,000000; 0,000000
e11f3e9c-627a-48f8-b88a-a12378879864;2018:01:01;02:00:00;31,66964;-24,26536;FALSE; 0,00000000;0,000000; 0,000000
95296d8e-a76b-4913-ba86-09addf7bf665;2018:01:01;02:00:00;31,76304;-23,98783;FALSE; 0,03180716;1,590358; 1,622165
fd487e8c-e352-4773-a3c4-b514486e3711;2018:01:01;02:00:00;31,67929;-24,16520;FALSE; 0,03131863;1,565931; 1,597250
9cfe6a13-68db-4dc0-bc02-d590853cc7f3;2018:01:01;02:00:00;31,67723;-24,04881;FALSE; 0,03374144;1,687072; 1,720814
836819cd-7cd1-4659-a28b-4246aa604d0b;2018:01:01;02:00:00;31,72045;-24,14865;FALSE; 0,00000000;0,000000; 0,000000
d15ad8a1-8ac2-4b40-8c01-f11fee652e63;2018:01:01;02:00:00;31,81899;-24,02366;FALSE; 0,03372611;1,686305; 1,720031
9412f42c-92c0-4946-a38d-f8fac5c698d6;2018:01:01;02:00:00;31,69739;-24,07981;FALSE; 0,00000000;0,000000; 0,000000
733c37a6-33af-4b88-9f15-b976ea984c78;2018:01:01;02:00:00;31,69857;-24,10884;FALSE; 0,03581500;1,790750; 1,826565
95f94b2f-28c2-42d6-bae5-20875a9fdc4f;2018:01:01;02:00:00;31,77912;-24,07782;FALSE; 0,03170212;1,585106; 1,616808
6ce358ef-cd8d-4595-9e8c-7a4250ddb3ab;2018:01:01;02:00:00;31,66972;-24,14301;FALSE; 0,02787370;1,393685; 1,421559
b7a04adb-d6f2-4a01-b180-32c4ebdd6cd8;2018:01:01;02:00:00;31,70222;-24,06807;FALSE; 0,00000000;0,000000; 0,000000
d9ee421a-95bc-45ad-8ebe-d5ef6ed78dac;2018:01:01;02:00:00;31,77553;-24,05383;FALSE; 0,00000000;0,000000; 0,000000
1412ecf3-0b58-41d5-92ab-b463fd2dd49b;2018:01:01;02:00:00;31,70416;-24,12058;FALSE; 0,00000000;0,000000; 0,000000
52d9f5f0-b70c-4c87-baab-8af22c822c28;2018:01:01;02:00:00;31,70594;-24,12763;FALSE; 0,00000000;0,000000; 0,000000
7e9c0105-bb49-48ae-8356-9f9323a302e7;2018:01:01;02:00:00;31,68640;-24,14963;FALSE; 0,03549481;1,774741; 1,810235
60e08150-2149-4cf8-9aa4-d1acfe0beab7;2018:01:01;02:00:00;31,65831;-24,15598;FALSE; 0,03474182;1,737091; 1,771833
2064a350-1793-4b59-b7e8-86ce7555b266;2018:01:01;02:00:00;31,68272;-24,05001;FALSE; 0,03404417;1,702208; 1,736253
aecb519c-03aa-4a49-a602-ec9b680923e7;2018:01:01;02:00:00;31,68541;-24,10113;FALSE; 0,02875615;1,437808; 1,466564
72ff11be-3ea1-4f51-b57e-efc2b311ff8f;2018:01:01;02:00:00;31,71118;-24,06399;FALSE; 0,03388545;1,694273; 1,728158
e052424a-3efd-49d6-b107-e4c237aeb605;2018:01:01;02:00:00;31,69751;-24,11512;FALSE; 0,03224345;1,612172; 1,644416
53d3ae2b-2a62-44c4-a817-2ba1e9d7141a;2018:01:01;02:00:00;31,77476;-24,02058;FALSE; 0,00000000;0,000000; 0,000000
2a7ae0c6-983c-44f7-b193-bcaa1086cb02;2018:01:01;02:00:00;31,80597;-24,04522;FALSE; 0,00000000;0,000000; 0,000000
5eb0dd0f-a9f1-416e-b9bd-f6003ea8593a;2018:01:01;02:00:00;31,76424;-24,06294;FALSE; 0,02873909;1,436955; 1,465694
b2f74878-4aa2-4370-bf28-1b07704fad17;2018:01:01;02:00:00;31,67929;-24,06583;FALSE; 0,03297075;1,648538; 1,681508
7c5b5021-da99-4e97-9077-81b89156ef10;2018:01:01;02:00:00;31,64464;-24,23873;FALSE; 0,00000000;0,000000; 0,000000
7895992b-50f0-4af3-8704-6d4a47ab095a;2018:01:01;02:00:00;31,72455;-24,05165;FALSE; 0,03192896;1,596448; 1,628377
b1371f9f-5068-457d-8d4d-3a0660a17b35;2018:01:01;02:00:00;31,68889;-24,05328;FALSE; 0,03392944;1,696472; 1,730401
8eb03ebc-cde5-4642-b817-042321f63c9a;2018:01:01;02:00:00;31,75345;-24,00594;FALSE; 0,00000000;0,000000; 0,000000
90a09452-62b4-4fb2-8fac-ba492acdbd35;2018:01:01;02:00:00;31,78335;-24,05001;FALSE; 0,02990925;1,495463; 1,525372
0096a9e5-8d0f-470b-9860-be1178d116d7;2018:01:01;02:00:00;31,67544;-24,17093;FALSE; 0,00000000;0,000000; 0,000000
26ddb1af-863c-4bae-a88a-0a1807aa510e;2018:01:01;02:00:00;31,69622;-24,09547;FALSE; 0,03585969;1,792984; 1,828844
